序号,审查域,先决条件/交付物,最低证据等级,责任方,完成时点,状态,缺口/例外,转绿条件
1,资产特定,MSN/注册号/机身铭牌/交付文件一致,A1,卖方/技术顾问,签约前,待核验,,全部一致且冲突关闭
2,发动机与APU,ESN/APU序号及安装拆换历史完整,A1/B,承租人/MRO,签约前,待核验,,实物与记录逐项匹配
3,处分权,连续Bill of Sale及公司授权,A1,卖方/律师,签约前,待核验,,权属链连续且授权有效
4,价款与交付,付款凭证/交付证书/风险转移闭环,A1,交易双方,交割日,待核验,,付款交付同日或托管闭环
5,国籍登记,现行国籍登记及原国籍注销路径,A1,登记代理,放款前,待核验,,不存在双重国籍
6,本地权利登记,所有权/租赁占有/抵押登记或可登记性,A1,登记代理/律师,放款前,待核验,,登记完成或具可执行交割安排
7,国际登记,对象搜索证书及拟登记文本,A1,国际登记代理,放款前,待核验,,在先利益清除且新利益完成登记
8,国家声明,缔约状态及第39/40/50/53/54/55条声明核验,A1,跨境律师,签约前,待核验,,项目适用结论书面化
9,IDERA,按登记国程序签署记录并核验授权链,A1,登记代理/律师,放款前,待核验,,记录生效且不作过度解释
10,适航,有效适航证及出口/进口适航路径,A1,运营人/技术顾问,放款前,待核验,,无失效或认可障碍
11,持续适航,维修方案/AD/SB/维修放行完整,A1/B,运营人/MRO,放款前,待核验,,重大事项关闭
12,技术记录,全寿命记录/LLP追溯/改装事故记录完整,B,技术顾问,放款前,待核验,,重大缺口补齐或形成可接受折价
13,维护状态,机身/发动机/APU/起落架事件台账,B,技术顾问,签约前,待核验,,FH/FC/月历触发与模型一致
14,储备金,收取/报销/退款/抵销/期末归属闭环,A1,合同律师/财务,签约前,待核验,,法律归属与现金流一致
15,返还条件,技术状态/记录/补偿/地点/争议机制,A1,合同律师/技术顾问,签约前,待核验,,无双重计值且可执行
16,独立估值,Market/Base/Part-Out及维护状态说明,B,估值师,放款前,待核验,,估值日和假设与项目匹配
17,保险,机身险/责任险/战争险及贷款人权益,B,保险经纪,放款前,待核验,,承保及通知承诺生效
18,第一还款来源,承租人财务/机队利用率/债务到期,A1/B,风控,审批前,待核验,,现金流和偿债压力可接受
19,取回路径,违约/破产/注销/出口/海关/调机链,A1,跨境律师/技术顾问,审批前,待核验,,各法域可执行且成本入模
20,财务模型,项目/权益现金流/DSCR/LLCR/租金区间/压力复算,A1/B,风控,审批前,待核验,,出租人下限不高于承租人上限且模型无硬旗标
